Date,Open,High,Low,Close
10/01/2018 18:30,1.19541,1.19573,1.19541,1.19563
10/01/2018 18:35,1.19564,1.19565,1.19559,1.19565
10/01/2018 18:40,1.19567,1.19591,1.19567,1.19585
10/01/2018 18:45,1.19584,1.19584,1.1956,1.19571
10/01/2018 18:50,1.19573,1.19577,1.19568,1.19576
10/01/2018 18:55,1.19575,1.19575,1.19555,1.19559
10/01/2018 19:00,1.19558,1.19585,1.19539,1.19585
10/01/2018 19:05,1.19586,1.19591,1.19544,1.19558
10/01/2018 19:10,1.19559,1.19566,1.19539,1.19561
10/01/2018 19:15,1.1956,1.1956,1.19534,1.19554
10/01/2018 19:20,1.19554,1.19554,1.19508,1.19514
10/01/2018 19:25,1.19517,1.19534,1.19495,1.19506
10/01/2018 19:30,1.19506,1.19533,1.19488,1.1949
10/01/2018 19:35,1.19491,1.19518,1.19474,1.19481
10/01/2018 19:40,1.19478,1.19513,1.19478,1.19509
10/01/2018 19:45,1.1951,1.19526,1.19489,1.19512
10/01/2018 19:50,1.19511,1.19596,1.19494,1.19584
10/01/2018 19:55,1.19574,1.19601,1.1954,1.196
10/01/2018 20:00,1.19599,1.19622,1.19551,1.19566
10/01/2018 20:05,1.19564,1.19604,1.19564,1.1958
10/01/2018 20:10,1.19579,1.19596,1.19572,1.19576
10/01/2018 20:15,1.19575,1.19589,1.19541,1.19554
10/01/2018 20:20,1.19556,1.1957,1.19543,1.1955
10/01/2018 20:25,1.19551,1.19582,1.1954,1.1957
10/01/2018 20:30,1.1957,1.19591,1.19561,1.19581
10/01/2018 20:35,1.19582,1.19627,1.1958,1.19611
10/01/2018 20:40,1.1961,1.19626,1.19593,1.19596
10/01/2018 20:45,1.19597,1.19628,1.19596,1.19621
10/01/2018 20:50,1.1962,1.19622,1.19575,1.19575
10/01/2018 20:55,1.19574,1.19595,1.19562,1.19593
10/01/2018 21:00,1.19592,1.19596,1.1957,1.19574
10/01/2018 21:05,1.19575,1.19613,1.19561,1.19595
10/01/2018 21:10,1.19595,1.19606,1.19584,1.19606
10/01/2018 21:15,1.19606,1.19638,1.19606,1.19619
10/01/2018 21:20,1.19618,1.19651,1.19611,1.19638
10/01/2018 21:25,1.19638,1.1965,1.19634,1.1965
10/01/2018 21:30,1.19651,1.19661,1.19634,1.19656
10/01/2018 21:35,1.19657,1.19674,1.1965,1.19651
10/01/2018 21:40,1.19651,1.19656,1.19649,1.19656
10/01/2018 21:45,1.19656,1.19679,1.19656,1.19675
10/01/2018 21:50,1.19676,1.19688,1.19672,1.19687
10/01/2018 21:55,1.19686,1.19689,1.19666,1.19666
10/01/2018 22:00,1.19665,1.19699,1.19665,1.19671
10/01/2018 22:05,1.19674,1.19691,1.19674,1.19691
10/01/2018 22:10,1.19691,1.19691,1.19661,1.19668
10/01/2018 22:15,1.19668,1.1967,1.19654,1.19657
10/01/2018 22:20,1.19656,1.19666,1.1964,1.19645
10/01/2018 22:25,1.19647,1.19671,1.19573,1.19573
